Indonesia,Inggris,Korea
Nama Debitur,Debtor Name,채무자 이름
Masukkan Nama Debitur,Enter Debtor Name,채무자 이름 입력
Nomor Surat,Letter Number,문서 번호
Masukkan Nomor Surat,Enter Letter Number,문서 번호를 입력하세요
no,no,숫자
id,id,아이디
Kode,Code,암호
Nama,Name,이름
NIK,NIK,주민등록번호
Masukkan NIK,Enter NIK,주민등록번호 입력
NPWP,NPWP,세금 식별 번호
Masukkan NPWP,Enter NPWP,세금 식별 번호를 입력하세요
Passport,Passport,여권
Masukkan Passport,Enter Passport,여권을 입력하세요
Tanggal Mulai,Start Date,시작일
Pilih Tanggal,Select Date,날짜 선택
Tanggal Berakhir,End Date,만료일
User Input,User Input,사용자 입력
Pilih User,Select User,사용자 선택
Produk,Product,제품
Pilih Produk,Select Product,제품 선택
Tujuan Permintaan,Request Purpose,요청 목적
Pilih Tujuan Permintaan,Select Request Purpose,요청 목적 선택
Format,Format,형식
Masukkan Format,Enter Format,형식 입력
Tanggal Lahir,Date of Birth,생일
status,status,상태
aksi,action,행동
Ganti status,Change status,상태 변경
Konfirmasi Ganti Status,Confirm Change Status,상태 변경 확인
Apakah anda yakin untuk mengganti status pada data ini?,Are you sure you want to change the status of this data?,이 데이터의 상태를 변경하시겠습니까?
Kata Kunci,keyword,키워드
Masukkan Kata Kunci,Enter keyword,키워드를 입력하세요
Pilih status,Select status,상태 선택
Masukkan kode,Enter Code,코드를 입력하세요
edit,edit,편집하다
pertanggal,As of date,날짜 기준
Masukkan pertanggal,Enter as of date,날짜를 입력하세요
Perbarui,Update,업데이트
perhari,More days,하루에
Export,Export,수출
Masukkan id,Enter id,아이디를 입력하세요
Masukkan per hari,Enter more days,하루에 입력
Tambah,Add,추가하다
Masukkan nama,Enter name,이름을 입력하세요
Request,Request,요청
Masukkan Request,Enter Request,요청을 입력하세요
Input Request Inquiry,Input Request Inquiry,입력 요청 문의
Jenis Nasabah,Debtor Type,고객 유형
Pilih Tipe Debitur,Select Debtor Type,채무자 유형 선택
Tipe Pencarian,Robot Find Result,검색 유형
Pilih Tipe Pencarian,Select Robot Find Result,검색 유형 선택
Simpan,Save,구하다
Mode Kecocokan,Match Mode,일치 모드
Pilih Mode Kecocokan,Select Match Mode,호환 모드 선택
Saluran,Channel,채널
Pilih Saluran,Select Channel,채널 선택
Cabang,Branch,지점
Pilih Cabang,Select Branch,지점 선택
Tipe Customer,Customer Type,고객 유형
Pilih Tipe Customer,Select Customer Type,고객 유형 선택
value,value,값
Masukkan value,Enter value,값을 입력하세요
Nama Customer,Customer Name,고객 이름
Masukkan Nama Customer,Enter Customer Name,고객 이름 입력
Tipe Identitas,Select Identity Type,신분 유형
Pilih Tipe Identitas,Select Identity Type,신분 유형 선택
KTP,KTP,주민등록증
Masukkan nomor KTP,Enter KTP Number,신분증 번호를 입력하세요
Flag Identity Number Exception,Flag Identity Number Exception,플래그 식별 번호 예외
